"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","arrival_time_sort","timepoint"
"296300901","09:28:00","09:28:00","156","7","L.A. Union Station","0","09:28:00","1"
"296300901","09:35:00","09:35:00","154","8","L.A. Union Station","0","09:35:00","1"
"296300901","09:40:00","09:40:00","145","9","L.A. Union Station","0","09:40:00","1"
"296300901","09:45:00","09:45:00","128","10","L.A. Union Station","0","09:45:00","1"
"296300901","09:53:00","09:53:00","174","11","L.A. Union Station","0","09:53:00","1"
"296300901","09:58:00","09:58:00","130","12","L.A. Union Station","0","09:58:00","1"
"296300901","10:05:00","10:05:00","143","13","L.A. Union Station","0","10:05:00","1"
"296300901","10:34:00","10:34:00","107","14","L.A. Union Station","0","10:34:00","1"
"296300922","13:28:00","13:28:00","144","1","L.A. Union Station","0","13:28:00","1"
"296300922","13:52:00","13:52:00","133","2","L.A. Union Station","0","13:52:00","1"
"296300922","13:55:00","13:55:00","152","3","L.A. Union Station","0","13:55:00","1"
"296300922","14:05:00","14:05:00","153","4","L.A. Union Station","0","14:05:00","1"
"296300922","14:12:00","14:12:00","141","5","L.A. Union Station","0","14:12:00","1"
"296300922","14:23:00","14:23:00","140","6","L.A. Union Station","0","14:23:00","1"
"296300922","14:30:00","14:30:00","156","7","L.A. Union Station","0","14:30:00","1"
"296300922","14:37:00","14:37:00","154","8","L.A. Union Station","0","14:37:00","1"
"296300922","14:43:00","14:43:00","145","9","L.A. Union Station","0","14:43:00","1"
"296300922","14:48:00","14:48:00","128","10","L.A. Union Station","0","14:48:00","1"
"296300922","14:56:00","14:56:00","174","11","L.A. Union Station","0","14:56:00","1"
"296300922","15:02:00","15:02:00","130","12","L.A. Union Station","0","15:02:00","1"
"296300922","15:10:00","15:10:00","143","13","L.A. Union Station","0","15:10:00","1"
"296300922","15:39:00","15:39:00","107","14","L.A. Union Station","0","15:39:00","1"
"296400921","10:50:00","10:50:00","107","1","Oceanside","0","10:50:00","1"
"296400921","11:13:00","11:13:00","143","2","Oceanside","0","11:13:00","1"
